,hour,demand,supply1,supply2,supply3,supply4,wind,reserve,day,month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,label
130,11,19025,23930,5290,14651,4374,1410,1712,5,7,0.00108019204345,0.00142850319389,0.0024921875447,0.00400459812954,-0.00419654324651,0.00123805727344,0.00122011685744,0.000797052052803,-0.00794784259051,0.0323691554368,-0.0058258944191,-0.00031386941555,0.00101355346851,0.00338710215874,0.00167295488063,-0.00381086370908,-0.00487119145691,0.0152474287897,0.00130618957337,0.0152095016092,-0.00829124264419,0.00761008821428,0.00549316499382,0.00049280753592,0.00176798086613,-0.0044709998183,-0.00303575606085,290.0
131,12,19275,23930,5483,14708,4567,1607,1735,5,7,-0.00087664288003,-0.000146444348502,0.00286556663923,0.00374767766334,-0.00340606831014,-3.57369390258e-05,0.0030103281606,0.000221840091399,-0.00748239504173,0.027415053919,-0.00497212307528,-0.000985130434856,0.000195271190023,0.0018743701512,0.000440732721472,-0.00514175090939,-0.0053592203185,0.0148870339617,0.00224555516616,0.0181471630931,-0.00667258026078,0.00696735829115,0.00478448905051,0.000551848555915,0.00244012079202,-0.00361834955402,-0.00258745835163,290.0
132,13,19100,23930,5608,14408,4692,1740,1719,5,7,0.0010307416087,-0.0027215462178,0.00204903143458,0.00334541592747,-0.00382982427254,0.000250883138506,0.00358944083564,-0.000529722427018,-0.00732109881938,0.0232339706272,-0.00364795560017,-0.00206034327857,-4.86324961457e-06,0.000177266760147,-0.00104749843013,-0.00625549862161,-0.00492751272395,0.0151733821258,-0.000209354140679,0.0203237235546,-0.00268046790734,0.00472916057333,0.00570248765871,0.000406645383919,0.00370754208416,-0.00336525868624,-0.00239612930454,297.77
133,14,18750,23930,5661,14005,4745,1797,1688,5,7,0.00138463883195,-0.00257939542644,0.00118792871945,0.00244990945794,-0.00488092191517,-4.87622965011e-05,0.00423695612699,2.0612611479e-05,-0.00729385577142,0.0210284218192,-0.00442120293155,-0.0022489875555,-0.000232513382798,-0.00144880684093,-0.00170195836108,-0.00649940781295,-0.00432148668915,0.0163584798574,-0.00120385806076,0.0214798282832,-0.00160730117932,0.00351481512189,0.00553614273667,4.52365457022e-05,0.00514472881332,-0.00305875740014,-0.00257232505828,295.63
134,15,18350,23930,5585,13681,4669,1719,1652,5,7,0.00307403644547,-0.00121749355458,-0.000323062646203,0.000742323463783,-0.00367367360741,-0.000660793099087,0.00499018700793,0.0016458844766,-0.00751196406782,0.0182219967246,-0.00690286932513,-0.00108212337364,0.000876179139595,-0.00401418469846,-0.00202535092831,-0.00603919802234,-0.00225144950673,0.0190444514155,-0.000800031877588,0.0212592892349,-0.00240168231539,0.00247795530595,0.00308972597122,0.000905334018171,0.00622536614537,-0.00244597601704,-0.00239488133229,290.0
135,16,18100,23930,5432,13584,4516,1594,1629,5,7,0.00323860882781,-0.000389120046748,-0.000281362939859,0.000222717615543,-0.00391051406041,-0.00178593525197,0.0052639907226,0.00232411758043,-0.00840770639479,0.0167464241385,-0.00779333058745,-0.000189978847629,0.00137871038169,-0.00605305749923,-0.000906070577912,-0.00646750768647,-0.00196838821284,0.0202920883894,-0.00082687305985,0.0216659978032,-0.00353968841955,0.00206452887505,0.00258545298129,0.000677603995427,0.00617124326527,-0.00190984702203,-0.00245269760489,290.0
136,17,17925,23930,5327,13514,4411,1488,1613,5,7,0.00429518241435,0.00106272799894,-0.000938676355872,-2.37885360548e-05,-0.00341272377409,-0.00302232126705,0.00524025503546,0.00234978902154,-0.00954092945904,0.01616955176,-0.00895650684834,0.000881548854522,0.00122356961947,-0.00727033428848,-0.000104313941847,-0.00682430621237,-0.000654677976854,0.0213098078966,-8.18518965389e-05,0.0208519175649,-0.00437535485253,0.00200976780616,0.00227294815704,0.000840007152874,0.00615865504369,-0.00136006565299,-0.00246838247404,288.63
137,18,17800,23930,5288,13428,4372,1447,1602,5,7,0.00450586294755,0.00128135399427,-0.0014918417437,0.000192993291421,-0.00290156831034,-0.00346989533864,0.00526543660089,0.00213520671241,-0.0100013203919,0.0155153451487,-0.0096045685932,0.00128672621213,0.00184103869833,-0.00754817947745,0.000149090992636,-0.00604092050344,-0.000551696284674,0.0221244767308,-0.000387801672332,0.0214679576457,-0.00407691439614,0.0019220962422,0.00215751654468,0.000887014146429,0.00629675295204,-0.000471150269732,-0.00321962824091,287.46
138,19,17625,23930,5374,13167,4458,1498,1586,5,7,0.00570644438267,0.000830958015285,-0.00286396965384,0.000183107084013,-0.00265893223695,-0.00318770366721,0.00495742633939,0.00245106825605,-0.0105567704886,0.0141732040793,-0.011345917359,0.00202629575506,0.00243008555844,-0.00815988052636,0.000178165952093,-0.00572356488556,0.000111757770355,0.0231005121022,-0.00143808696885,0.0220717806369,-0.00507846707478,0.0015118959127,0.00145200034603,0.00101211410947,0.0061953375116,-0.000194817883312,-0.00341972685419,287.46
139,20,17650,23930,5494,13072,4578,1603,1589,5,7,0.00671904720366,-0.000827920273878,-0.00305081508122,0.000619628583081,-0.00252369511873,-0.0025916416198,0.004173561465,0.00340647040866,-0.0108947753906,0.0136148110032,-0.0109927179292,0.00221752794459,0.00221082568169,-0.00791200064123,0.000567210488953,-0.00608269963413,-0.000822470465209,0.022411622107,-0.0021935722325,0.0231446810067,-0.00423590745777,0.0012074066326,0.00248760613613,0.000867042457685,0.00655569694936,-0.000349059992004,-0.00389687204733,287.46
140,21,17600,23930,5623,12893,4707,1708,1584,5,7,0.00696955900639,-0.00193155894522,-0.00310526438989,0.000272520555882,-0.00265112263151,-0.00240067439154,0.00363167584874,0.00391816766933,-0.0108106425032,0.0134069239721,-0.0113610867411,0.00224387110211,0.00174766383134,-0.00762638961896,0.000810951460153,-0.00617787800729,-0.000943549151998,0.0216676145792,-0.00211143144406,0.0238429009914,-0.00446904497221,0.00147512869444,0.00301520130597,0.000931297778152,0.00653640227392,-0.000692685833201,-0.00391700165346,276.59
141,22,17700,23930,5733,12883,4817,1833,1593,5,7,0.0071078389883,-0.00177335599437,-0.00275682215579,-2.44991351792e-05,-0.00204404490069,-0.00255828606896,0.0033996864222,0.00531147653237,-0.0106392586604,0.0131832603365,-0.0116899842396,0.00263612368144,0.00096400489565,-0.0082246158272,0.00143564480823,-0.00580072170123,-0.000803893548436,0.0215621255338,-0.00110768841114,0.0236848294735,-0.0054932879284,0.00141283334233,0.0029709674418,0.00124777748715,0.00679353019223,-0.00137882435229,-0.0041725942865,276.59
142,23,17150,23930,5847,12236,4914,1991,1544,5,7,0.00386922457255,-0.00715930853039,-0.00236806669272,0.000209901234484,-0.00434881029651,0.000728789251298,0.00242923758924,0.00343047385104,-0.00647275429219,0.0136657655239,-0.0120301730931,3.61981778951e-06,0.00193373754155,-0.00461016269401,-0.00145695591345,-0.00384611496702,-0.00228415965103,0.0189668945968,-0.00549557618797,0.0298479087651,-0.00262472685426,0.00103312439751,0.00487601011992,0.000780378119089,0.00571248494089,0.000759076676331,-0.00280332798138,74.62
143,24,15900,23930,5973,10882,5018,2117,1431,5,7,0.00303007685579,-0.00207599624991,-0.00303628668189,-0.00379108753987,-0.00182136218064,-0.00121174764354,0.00339952274226,0.0064834151417,-0.00589523697272,0.0117185972631,-0.0151194920763,0.00142194645014,0.00148311152589,-0.00679991906509,-0.00103045091964,-0.00327166751958,0.00115806492977,0.021175313741,-0.00170232984237,0.0286574475467,-0.00817224662751,0.000210722646443,0.001980941277,0.00244513433427,0.0072776353918,-0.000237216576352,-0.00305193220265,73.74
144,1,14550,23363,5601,9890,4660,1827,1310,6,7,0.00117411022075,-0.00259699346498,-0.0016624777345,-0.00543499970809,-0.00206121290103,-0.00246161059476,0.00417073396966,0.00506758177653,-0.00607242528349,0.00990738347173,-0.0175056010485,0.000893967109732,0.00581784360111,-0.00773122115061,0.000725422345567,-0.000500736990944,0.00125553610269,0.0237031839788,-0.00203264621086,0.0280686113983,-0.0117266960442,0.000949769746512,0.000501880364027,0.00274341460317,0.00571644958109,-0.00207229377702,-0.00193595024757,258.98
145,2,13800,23092,5773,8968,4832,1999,1242,6,7,0.00162124971393,-0.000524736999068,-0.0017146471655,-0.0072680208832,-0.00369112519547,-0.00608515739441,0.00438528414816,0.00445431470871,-0.0110762910917,0.0109883444384,-0.0183240361512,0.00125692714937,0.00494815548882,-0.00850049778819,0.00220853439532,-0.000815000676084,0.000885181711055,0.0258081238717,-4.88135810883e-05,0.025371639058,-0.0135442530736,0.00194932706654,-0.000325321394484,0.0027704059612,0.00410454720259,-0.000944270286709,-0.00048390837037,269.91
146,3,13325,23092,5892,8374,4951,2118,1199,6,7,0.0006883937167,0.00199152040295,-0.00169118738268,-0.00931674893945,-0.00406161509454,-0.00894342362881,0.00402308115736,0.00517270248383,-0.0131988925859,0.0118014961481,-0.0194182675332,0.0014740616316,0.00375044811517,-0.00896469596773,0.00293270871043,-0.00175292824861,0.000306477973936,0.0267918743193,0.00222766539082,0.023734619841,-0.0154679166153,0.00205056392588,-0.0011480137473,0.00326937972568,0.00376635463908,0.000504986208398,0.00065487192478,271.64
147,4,13125,23092,5991,8075,5050,2217,1181,6,7,-0.00546892313287,0.00321137509309,-0.000624127045739,-0.0109411776066,-0.00315884803422,-0.0111848553643,0.00455631269142,0.00476411636919,-0.0128966234624,0.0123857473955,-0.0231084004045,0.00121645559557,0.00310168880969,-0.00717219570652,0.00444940151647,-0.00162650831044,0.000162199590704,0.0256222635508,0.00604726467282,0.0235442649573,-0.0200488194823,0.00489598466083,-0.002126066247,0.00396633008495,0.00186342233792,-6.97571013006e-05,0.00226919306442,267.22
148,5,12550,23092,6097,7394,5156,2328,1130,6,7,-0.00693864794448,0.00323197268881,-0.00162034144159,-0.0119753386825,-0.00144688063301,-0.0112415896729,0.00440332759172,0.00432122312486,-0.0138110956177,0.0115122143179,-0.0252335201949,0.00190413661767,0.00356681854464,-0.00740169174969,0.00457039056346,-0.00209897197783,0.00200501852669,0.02498209849,0.00691941287369,0.0225102249533,-0.0209632497281,0.00534612778574,-0.00321830925532,0.00420956686139,0.00226042349823,-0.00016600881645,0.00284219509922,258.98
149,6,12300,23092,6220,7008,5292,2451,1107,6,7,-0.00682432251051,0.00214856211096,-0.00202754233032,-0.0132368439808,-0.00120961642824,-0.0121355000883,0.003921543248,0.00405281037092,-0.0145971290767,0.0104997949675,-0.0255991853774,0.00176902220119,0.00515172863379,-0.00712735205889,0.0052178488113,-0.00261931167915,0.000636054668576,0.0245262999088,0.00639143260196,0.0210773162544,-0.0189951695502,0.00536870956421,-0.00364036974497,0.00401376606897,0.0023648540955,-0.000327236077283,0.00386168248951,256.89
150,7,12775,23092,6362,7341,5434,2592,1150,6,7,-0.00912504922599,-0.00331637705676,-0.00237535056658,-0.0117578571662,-0.00307887536474,-0.0102736409754,0.00371573283337,0.00287797837518,-0.0111927809194,0.011520607397,-0.0241628568619,-0.00053878891049,0.00540684070438,-0.00393199035898,0.00487512117252,-0.00196048105136,-0.00337057677098,0.0224422272295,0.00306548760273,0.0236254930496,-0.013514328748,0.00592368282378,-0.00143890385516,0.00338608329184,0.0018050033832,0.000281229935354,0.00448500132188,252.13
151,8,13700,22549,6508,8120,5580,2742,1233,6,7,0.00594084011391,-0.00625232234597,-0.00311283394694,-0.00576563132927,0.000698352057952,-0.00454154144973,0.00242902408354,0.00449875183403,-0.00967087596655,0.0103834997863,-0.0219552759081,0.00195471057668,0.00423803227022,-0.00650052959099,0.00430857390165,-0.00641273474321,0.000982076162472,0.0194653235376,-0.000848650175612,0.0212837029248,-0.00508865900338,0.00282526621595,0.000796201231424,0.00368559337221,0.00619177985936,-0.00162286928389,0.000635036383756,252.13
152,9,14700,22549,6666,8921,5779,2869,1323,6,7,0.00473732408136,-0.00944175571203,-0.0019444336649,-0.00240887445398,0.00146437296644,-0.000602056505159,0.00275098765269,0.00444743782282,-0.00490813329816,0.0111560914665,-0.0214013904333,0.00200410373509,0.00305561651476,-0.00264066481031,0.00248001446016,-0.00549265323207,0.00113503925968,0.0147042702883,-0.000860357249621,0.0245907809585,-0.0021759737283,0.00471583846956,0.0024009058252,0.00340511323884,0.00650782231241,-0.00341270933859,-0.00106711394619,72.24
153,10,15600,22820,6777,9711,5889,2970,1404,6,7,0.00449368637055,-0.0114870462567,-0.000735562876798,-0.00185690261424,0.00218986463733,0.00220147520304,0.00176581880078,0.00379225285724,-0.00227311975323,0.0109959878027,-0.0216176081449,0.00210144091398,0.00379944848828,-0.00101667200215,0.000944304163568,-0.00618962896988,0.00190384942107,0.00986308883876,-0.00233717029914,0.0270572528243,-0.0022871112451,0.00507902167737,0.00423856964335,0.00274662231095,0.00661102635786,-0.00443814462051,-0.00263725291006,72.24
154,11,16175,22684,6876,10187,5988,3069,1456,6,7,0.00515461992472,-0.0134062068537,0.000315908371704,-0.000436173198977,0.00300711789168,0.00411652121693,0.00181103381328,0.00400942703709,0.000246100098593,0.0107147553936,-0.0221137050539,0.00260587502271,0.00367434788495,2.72444431175e-05,0.000566645583604,-0.00615009758621,0.00188786990475,0.00662191119045,-0.00243903044611,0.0271759442985,-0.00225378409959,0.00632008397952,0.00456410227343,0.0025999895297,0.00627405848354,-0.00631892262027,-0.00391029473394,72.12
155,12,16313,22413,6988,10214,6099,3195,1468,6,7,0.00567501503974,-0.0177135951817,0.00037377118133,0.00269669946283,0.000964322825894,0.00557727459818,0.00297338585369,0.00315403868444,0.00207072356716,0.00836408883333,-0.024124506861,0.00302007724531,0.00436653150246,-0.000858002109453,-0.000152877051733,-0.00666650105268,0.00134785368573,0.00272355624475,-0.00172982970253,0.0226971358061,-0.00319383945316,0.0059521375224,0.00456519704312,0.00135938904714,0.00621203891933,-0.0071415938437,-0.00614045234397,72.12
